SITE,Site abbreviation,N latitude,W longitude,Elevation (m),Year Installed
EXPERIMENTAL SITES,,,,,
East Blacktail 1 DX,eb1-dx,"44° 56' 50.23""","110° 33' 47.07""",2079.35,2001
East Blacktail 1 DC,eb1-dc,"44° 56' 50.80""","110° 33' 48.75""",2078.43,2001
East Blacktail 1 CX,eb1-cx,"44° 56' 51.60""","110° 33' 49.87""",2077.21,2001
East Blacktail 1 CC,eb1-cc,"44° 56' 52.07""","110° 33' 50.59""",2076.91,2001
East Blacktail 2 DX,eb2-dx,"44° 57' 01.22""","110° 34' 00.27""",2069.59,2001
East Blacktail 2 DC,eb2-dc,"44° 57' 01.16""","110° 34' 00.88""",2068.98,2001
East Blacktail 2 CX,eb2-cx,"44° 57' 02.29""","110° 34' 03.23""",2067.76,2001
East Blacktail 2 CC,eb2-cc,"44° 57' 02.80""","110° 34' 03.42""",2067.76,2001
Elk CC,elk-cc,"44° 52' 30.70""","110° 12' 58.28""",1937.31,2001
Elk CX,elk-cx,"44° 52' 30.70""","110° 12' 58.28""",1934.87,2001
Elk DX,elk-dx,"44° 52' 30.70""","110° 12' 58.28""",1935.18,2001
Elk DC,elk-dc,"44° 52' 30.70""","110° 12' 58.28""",1933.65,2001
West Blacktail DC,wb-dc,"44° 56' 20.78""","110° 34' 35.07""",2080.26,2001
West Blacktail DX,wb-dx,"44° 56' 21.15""","110° 34' 35.15""",2080.56,2001
West Blacktail CX,wb-cx,"44° 56' 22.66""","110° 34' 38.00""",2076.60,2001
West Blacktail CC,wb-cc,"44° 56' 21.91""","110° 34' 37.44""",2077.52,2001
,,,,,
,,,,,
OBSERVATIONAL SITES,,,,,
Crescent Lake,crescent-obs,"44° 55' 51.11""","110° 27' 14.49""",2065.32,2009
East Blacktail 1,eb1-obs,"44° 56' 35.65""","110° 33' 16.97""",2099.16,2009
Elk Creek 1,elk1-obs,"44° 55' 42.20""","110° 26' 37.44""",1956.82,2009
Elk Creek 2,elk2-obs,"44° 56' 13.83""","110° 26' 07.85""",1874.82,2009
Elk Creek 3,elk3-obs,"44° 56' 31.13""","110° 26' 10.34""",1868.73,2009
Elk Creek 4,elk4-obs,"44° 56' 50.01""","110° 26' 14.24""",1855.01,2009
Glen Creek,glen-obs,"44° 56' 36.33""","110° 44' 31.36""",2241.19,2009
G Hole,ghole-obs,"44° 56' 20.29""","110° 47' 12.61""",2333.55,2009
Halbuff,hailbuff-obs,"44° 52' 30.70""","110° 11' 50.87""",2138.17,2009
Lava Creek,lava-obs,"44° 56' 25.82""","110° 37' 50.49""",2005.58,2009
Lost Creek,lostc-obs,"44° 54' 15.37""","110° 25' 28.28""",2070.20,2009
Lost Lake,lostl-obs,"44° 54' 40.65""","110° 25' 27.98""",2051.30,2009
Lower Blacktail 1,lb1-obs,"44° 57' 40.84""","110° 35' 29.63""",1991.26,2009
Lower Blacktail 2,lb2-obs,"44° 58' 11.94""","110° 35' 22.15""",1968.40,2009
Lower Blacktail 3,lb3-obs,"44° 58' 50.80""","110° 35' 37.75""",1927.86,2009
Oxbow ,oxbow-obs,"44° 57' 30.50""","110° 32' 10.42""",2042.16,2009
Rose Creek,rose-obs,"44° 54' 18.49""","110° 12' 58.28""",2157.98,2009
Slide Lake,slide-obs,"45° 00' 13.33""","110° 42' 02.30""",1743.15,2009
West Blacktail 1,wb1-obs,"44° 56' 24.22""","110° 34' 38.47""",2076.91,2009
West Blacktail 2,wb2-obs,"44° 56' 48.97""","110° 35' 07.25""",2046.73,2009
Yancy Creek,yancy-obs,"44° 55' 43.56""","110° 26' 05.87""",1899.21,2009
,,,,,
,,,,,
BEAVER SITES,,,,,
Crystal Creek,crystal-obs,"44° 54' 41.58""","110° 19' 23.46""",1897.99,2015
West Blacktail,wb4-obs,"44° 56' 38.87""","110° 34' 53.92""",2058.31,2015
