"","year","willid","site","site_full","season","treat","height","willid_full","exp","dam","browse","beaver_status","beaver_year"
"1",2018,775,"wb4","wb4-obs","fall","bv",241,"wb4-obs-775",0,0,1,"bv",2019
"2",2018,778,"wb4","wb4-obs","fall","bv",179,"wb4-obs-778",0,0,1,"bv",2019
"3",2018,771,"wb4","wb4-obs","fall","bv",274,"wb4-obs-771",0,0,1,"bv",2019
"4",2018,7,"wb4","wb4-obs","fall","bv",349,"wb4-obs-7",0,0,1,"bv",2019
"5",2018,772,"wb4","wb4-obs","fall","bv",277,"wb4-obs-772",0,0,1,"bv",2019
"6",2018,773,"wb4","wb4-obs","fall","bv",307,"wb4-obs-773",0,0,1,"bv",2019
"7",2018,765,"wb4","wb4-obs","fall","bv",269,"wb4-obs-765",0,0,1,"bv",2019
"8",2018,766,"wb4","wb4-obs","fall","bv",380,"wb4-obs-766",0,0,1,"bv",2019
"9",2018,767,"wb4","wb4-obs","fall","bv",189,"wb4-obs-767",0,0,1,"bv",2019
"10",2018,764,"wb4","wb4-obs","fall","bv",252,"wb4-obs-764",0,0,1,"bv",2019
"11",2018,763,"wb4","wb4-obs","fall","bv",261,"wb4-obs-763",0,0,1,"bv",2019
"12",2018,762,"wb4","wb4-obs","fall","bv",158,"wb4-obs-762",0,0,1,"bv",2019
"13",2018,776,"wb4","wb4-obs","fall","bv",262,"wb4-obs-776",0,0,1,"bv",2019
"14",2018,754,"wb4","wb4-obs","fall","bv",398,"wb4-obs-754",0,0,1,"bv",2019
"15",2018,824,"wb4","wb4-obs","fall","bv",294,"wb4-obs-824",0,0,1,"bv",2019
"16",2018,825,"wb4","wb4-obs","fall","bv",281,"wb4-obs-825",0,0,1,"bv",2019
"17",2018,755,"wb4","wb4-obs","fall","bv",182,"wb4-obs-755",0,0,1,"bv",2019
"18",2018,756,"wb4","wb4-obs","fall","bv",150,"wb4-obs-756",0,0,1,"bv",2019
"19",2018,757,"wb4","wb4-obs","fall","bv",254,"wb4-obs-757",0,0,1,"bv",2019
"20",2018,758,"wb4","wb4-obs","fall","bv",321,"wb4-obs-758",0,0,1,"bv",2019
"21",2018,752,"wb4","wb4-obs","fall","bv",169,"wb4-obs-752",0,0,1,"bv",2019
"22",2018,784,"wb4","wb4-obs","fall","bv",179,"wb4-obs-784",0,0,1,"bv",2019
