site_full,willid,stem_id_full,year,willid_full,stid,site_id,treat,exp,species,fall_stem_weight,spring_stem_weight,lead_spring_stem_weight,over_winter_loss,prop_lost,net_accumulation,fence,dam,browse,n,min_yr,max_yr
crescent-obs,86,crescent-obs-8686,2009,crescent-obs-86,86,crescent,obs,0,geyer,4.456542676238399,0.9749976531325826,1.920570399036176,2.535972277202223,0.5690447643918317,1.9205703990361762,0,0,1,22,2009,2017
crescent-obs,86,crescent-obs-8686,2010,crescent-obs-86,86,crescent,obs,0,geyer,3.6471019293384255,1.920570399036176,1.6474743465982593,1.9996275827401662,0.548278502077098,1.6474743465982593,0,0,1,22,2009,2017
crescent-obs,86,crescent-obs-8686,2011,crescent-obs-86,86,crescent,obs,0,geyer,6.310064966671592,1.6474743465982593,1.2117150122197402,5.098349954451852,0.8079710718321033,1.2117150122197407,0,0,1,22,2009,2017
crescent-obs,86,crescent-obs-8686,2013,crescent-obs-86,86,crescent,obs,0,geyer,1.795993024330863,1.2117150122197402,1.3797210519526997,0.4162719723781634,0.231778167698204,1.3797210519526997,0,0,1,22,2009,2017
crescent-obs,86,crescent-obs-8686,2014,crescent-obs-86,86,crescent,obs,0,geyer,2.5798643324044637,1.3797210519526997,1.066125426051626,1.5137389063528377,0.5867513602709548,1.066125426051626,0,0,1,22,2009,2017
crescent-obs,86,crescent-obs-8686,2015,crescent-obs-86,86,crescent,obs,0,geyer,1.7026738119317324,1.066125426051626,NA,NA,NA,NA,0,0,1,22,2009,2017
crescent-obs,86,crescent-obs-8687,2009,crescent-obs-86,87,crescent,obs,0,geyer,13.47544562689012,0.9717149192808907,1.9825382859545084,11.492907340935613,0.8528777199027562,1.982538285954508,0,0,1,22,2009,2017
crescent-obs,86,crescent-obs-8687,2010,crescent-obs-86,87,crescent,obs,0,geyer,5.8928473092435905,1.9825382859545084,3.693037900855715,2.1998094083878756,0.37330161345555796,3.693037900855715,0,0,1,22,2009,2017
crescent-obs,86,crescent-obs-8687,2011,crescent-obs-86,87,crescent,obs,0,geyer,21.725629540002746,3.693037900855715,3.549081379355296,18.17654816064745,0.8366408037649505,3.5490813793552967,0,0,1,22,2009,2017
crescent-obs,86,crescent-obs-8687,2012,crescent-obs-86,87,crescent,obs,0,geyer,7.528661918994097,3.549081379355296,8.56767343964203,-1.0390115206479331,-0.13800746159508184,8.56767343964203,0,0,1,22,2009,2017
crescent-obs,86,crescent-obs-8687,2013,crescent-obs-86,87,crescent,obs,0,geyer,13.358615758738246,8.56767343964203,1.9830990417310448,11.375516717007201,0.8515490618529211,1.9830990417310446,0,0,1,22,2009,2017
crescent-obs,86,crescent-obs-8687,2014,crescent-obs-86,87,crescent,obs,0,geyer,7.96195561251745,1.9830990417310448,5.134975047780077,2.826980564737373,0.3550610807592187,5.134975047780077,0,0,1,22,2009,2017
